Original,_MediaEModaConjuntoCompletoAppending,_MediaEModaConjuntoCompletoNotAppending,_MediaEModaConjuntoDeMesmaClasseAppending,_MediaEModaConjuntoDeMesmaClasseNotAppending,_MediaEModa3NNConjuntoCompletoAppending,_MediaEModa5NNConjuntoCompletoAppending,_MediaEModa7NNConjuntoCompletoAppending,_MediaEModa9NNConjuntoCompletoAppending,_MediaEModa3NNConjuntoCompletoNotAppending,_MediaEModa5NNConjuntoCompletoNotAppending,_MediaEModa7NNConjuntoCompletoNotAppending,_MediaEModa9NNConjuntoCompletoNotAppending,_MediaEModa3NNConjuntoDeMesmaClasseAppending,_MediaEModa5NNConjuntoDeMesmaClasseAppending,_MediaEModa7NNConjuntoDeMesmaClasseAppending,_MediaEModa9NNConjuntoDeMesmaClasseAppending,_MediaEModa3NNConjuntoDeMesmaClasseNotAppending,_MediaEModa5NNConjuntoDeMesmaClasseNotAppending,_MediaEModa7NNConjuntoDeMesmaClasseNotAppending,_MediaEModa9NNConjuntoDeMesmaClasseNotAppending
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.9507631708518,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518
99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.9015263417036,100,100,100,100
99.9507631708518,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.9507631708518,99.9507631708518,99.9507631708518
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.9507631708518,99.9507631708518,99.9507631708518,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
99.9507631708518,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.9507631708518,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.9507631708518,99.9507631708518,99.9507631708518,99.9507631708518
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
99.9507631708518,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
99.9507631708518,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.9507631708518,100,100,100
