"1 _ A","1 _ B","V4","V5","4 _ L","4 _ U","4 _ Y","4 _ Z","5 _ G","5 _ GG","6 _ AA","6 _ C","6 _ CC","6 _ D","6 _ E","6 _ FF","6 _ I","6 _ J","6 _ K","6 _ M","6 _ Q","6 _ R","6 _ W","6 _ X","7 _ BB","7 _ DD","7 _ FF","7 _ H","7 _ J","7 _ N","7 _ O","7 _ V","7 _ Z","V35","9 _ f","9 _ t","10 _ f","10 _ t","V40","12 _ f","12 _ t","13 _ g","13 _ p","13 _ s","V46","V47","V47.1"
"0","1",-0.0150699680099381,-0.955919763998852,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0",-0.290871630439694,"0","1","0","1",-0.287891684895625,"1","0","1","0","0",0.123309387074893,-0.195271683820164,"+"
"1","0",2.20288940590748,-0.0600069991215048,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0",0.244013429868601,"0","1","0","1",0.740292904017322,"1","0","1","0","0",-0.790639596575052,-0.0877881958400168,"+"
"1","0",-0.519368920484697,-0.855481113227849,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0",-0.216167013078201,"0","1","1","0",-0.493528602678215,"1","0","1","0","0",0.571661718676752,-0.037117408649376,"+"
"0","1",-0.254074210888971,-0.646568719624162,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0",0.456174543175243,"0","1","0","1",0.534655986234733,"0","1","1","0","0",-0.46299750809677,-0.19469587942027,"+"
"0","1",-0.8643317110401,0.174015057174932,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0",-0.153415134494546,"0","1","1","0",-0.493528602678215,"1","0","0","0","1",-0.348035371788601,-0.195271683820164,"+"
"0","1",0.0845151331896588,-0.152410557830828,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0",0.0826514563677744,"0","1","1","0",-0.493528602678215,"0","1","1","0","0",1.03151026390943,-0.195271683820164,"+"
"0","1",0.171353341435708,-0.747007370395165,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0",1.27792533415167,"0","1","1","0",-0.493528602678215,"0","1","1","0","0",-0.0951186719106286,5.80940853307073,"+"
"1","0",-0.645244488400987,1.37124377436529,"0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",-0.652441978469324,"0","1","1","0",-0.493528602678215,"1","0","1","0","0",-0.577959644404939,0.0636483613320118,"+"
"0","1",1.86430006182886,-0.855481113227849,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0",0.518926421758898,"0","1","1","0",-0.493528602678215,"1","0","1","0","0",-0.00314896286409331,-0.135004156631296,"+"
"0","1",0.914656536789499,0.031392173080108,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0",0.281365738549348,"0","1","1","0",-0.493528602678215,"0","1","1","0","0",-0.738906635236376,0.0814982977287148,"+"
"0","1",-0.712165676407116,-0.789191603718987,"0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0",-0.0174527308966273,"1","0","1","0",-0.493528602678215,"0","1","1","0","0",-0.302050517265333,-0.195271683820164,"+"
"0","1",-0.0875679216832444,-0.58730991566927,"0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0",0.630983347801139,"0","1","1","0",-0.493528602678215,"1","0","1","0","0",0.456699582368583,-0.156884723827254,"+"
"1","0",0.576067192710869,0.249344045253185,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0",-0.365576247801188,"0","1","1","0",-0.493528602678215,"0","1","1","0","0",-1.03780818963762,-0.195271683820164,"+"
"0","1",1.3592044285445,0.257379137314865,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0",-0.652441978469324,"1","0","1","0",-0.493528602678215,"1","0","1","0","0",-1.03780818963762,0.321032928084471,"+"
"1","0",1.17995124638522,1.15329190219221,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0",0.829697629982712,"0","1","0","1",0.945929821799912,"0","1","1","0","0",-1.03780818963762,-0.195271683820164,"+"
"0","1",0.450191624794579,-0.069046477690895,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0",-0.58969009988567,"0","1","0","1",1.56284057514768,"0","1","1","0","0",0.801585991293091,-0.195271683820164,"+"
"0","1",-0.220613616885906,-0.780152125149596,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0",-0.377528986579027,"0","1","0","1",0.123382150669554,"0","1","1","0","0",1.23844210926413,-0.195271683820164,"+"
"1","0",-0.618954021684294,0.224234382560434,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0",0.282859830896578,"0","1","0","1",1.56284057514768,"1","0","1","0","0",-0.348035371788601,-0.148247657828849,"+"
"0","1",-0.732082696647036,-0.90570043861335,"0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0",-0.46568043506559,"0","1","1","0",-0.493528602678215,"0","1","1","0","0",-1.03780818963762,-0.195271683820164,"+"
"1","0",-0.943999791999778,0.76861186973927,"0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0",-0.440280865162682,"0","1","0","1",0.945929821799912,"1","0","1","0","0",-0.485989935358404,-0.195271683820164,"+"
"0","1",-0.479534880004858,1.30394987834872,"0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",0.0826514563677744,"0","1","0","1",3.00229899962581,"1","0","1","0","0",0.111813173444076,0.0365855545370105,"+"
"0","1",-0.618954021684294,-0.755042462456846,"0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",-0.414881295259774,"0","1","1","0",-0.493528602678215,"1","0","0","0","1",0.686623854984922,-0.195271683820164,"+"
"1","0",1.33291396182781,0.651098648337197,"0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",1.68880072963989,"0","1","0","1",0.740292904017322,"0","1","1","0","0",-1.03780818963762,0.046566164135167,"+"
"1","0",-0.286738124082438,1.95680110836024,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0",0.25746026099367,"0","1","0","1",-0.287891684895625,"1","0","1","0","0",-0.348035371788601,-0.193160401020554,"+"
"1","0",0.808697989113128,0.349782696024188,"0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0",-0.514985482524176,"0","1","0","1",0.123382150669554,"0","1","1","0","0",-0.204332701403389,-0.195271683820164,"+"
"1","0",-1.2100911824051,-0.838406542596778,"0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0",-0.216167013078201,"0","1","0","1",-0.0822547671130358,"1","0","1","0","0",-0.46299750809677,-0.195271683820164,"+"
